Item logged	Code	ISBN	Log time	Log date
1	200	9780896036277	05:21:39	18:09:17
2	200	9781617371943	05:21:40	18:09:17
3	200	9781489940148	05:21:40	18:09:17
4	200	9781617371899	05:21:40	18:09:17
5	200	9780896037892	05:21:40	18:09:17
6	200	9780896037878	05:21:40	18:09:17
7	200	9781489940018	05:21:40	18:09:17
8	200	9780896037823	05:21:41	18:09:17
9	200	9781461267492	05:21:41	18:09:17
10	200	9781607613756	05:21:41	18:09:17
11	200	9781461267454	05:21:41	18:09:17
12	200	9781489940223	05:21:41	18:09:17
13	200	9780896037663	05:21:41	18:09:17
14	200	9781461267553	05:21:42	18:09:17
15	200	9780896032019	05:21:42	18:09:17
16	200	9780896037687	05:21:42	18:09:17
17	200	9781461267850	05:21:42	18:09:17
18	200	9781617371752	05:21:42	18:09:17
19	200	9780896037618	05:21:42	18:09:17
20	200	9781489939227	05:21:43	18:09:17
21	200	9780896037601	05:21:43	18:09:17
22	200	9781617371738	05:21:43	18:09:17
23	200	9781461267843	05:21:46	18:09:17
24	200	9780896037540	05:21:46	18:09:17
25	200	9781617371677	05:21:46	18:09:17
26	200	9781461267270	05:21:47	18:09:17
27	200	9781461267720	05:21:47	18:09:17
28	200	9781617371646	05:21:47	18:09:17
29	200	9780896037380	05:21:47	18:09:17
30	200	9781617371592	05:21:47	18:09:17
31	200	9780896037342	05:21:47	18:09:17
32	200	9780896037311	05:21:48	18:09:17
33	200	9780896037243	05:21:48	18:09:17
34	200	9781617371516	05:21:48	18:09:17
35	200	9780896037199	05:21:48	18:09:17
36	200	9780896037168	05:21:48	18:09:17
37	200	9781475747621	05:21:48	18:09:17
38	200	9781617371400	05:21:49	18:09:17
39	200	9781617371394	05:21:49	18:09:17
40	200	9781588297167	05:21:49	18:09:17
41	200	9781588295576	05:21:49	18:09:17
42	200	9781617371325	05:21:49	18:09:17
43	200	9781475745726	05:21:50	18:09:17
44	200	9781588293336	05:21:50	18:09:17
45	200	9781617371295	05:21:50	18:09:17
46	200	9780896036758	05:21:50	18:09:17
47	200	9781617371288	05:21:50	18:09:17
48	200	9781617374968	05:21:50	18:09:17
49	200	9780896036741	05:21:51	18:09:17
50	200	9781588293251	05:21:51	18:09:17
51	200	9781617371240	05:21:51	18:09:17
52	200	9781617374920	05:21:51	18:09:17
53	200	9781617371226	05:21:51	18:09:17
54	200	9780896036581	05:21:51	18:09:17
55	200	9781588293145	05:21:51	18:09:17
56	200	9780896036567	05:21:52	18:09:17
57	200	9781588293107	05:21:52	18:09:17
58	200	9780896036512	05:21:52	18:09:17
59	200	9780896036482	05:21:52	18:09:17
60	200	9781607618348	05:21:52	18:09:17
61	200	9780896036444	05:21:52	18:09:17
62	200	9781603272360	05:21:53	18:09:17
63	200	9780896036437	05:21:53	18:09:17
64	200	9781588292988	05:21:53	18:09:17
65	200	9781607615507	05:21:53	18:09:17
66	200	9781588299840	05:21:53	18:09:17
67	200	9781617374685	05:21:54	18:09:17
68	200	9781617371028	05:21:54	18:09:17
69	200	9781617377990	05:21:54	18:09:17
70	200	9781588299963	05:21:54	18:09:17
71	200	9781588298348	05:21:54	18:09:17
72	200	9781588290786	05:21:54	18:09:17
73	200	9781588298324	05:21:55	18:09:17
74	200	9780896036499	05:21:55	18:09:17
75	200	9781588292698	05:21:55	18:09:17
76	200	9781617796586	05:21:55	18:09:17
77	200	9781588299918	05:21:55	18:09:17
78	200	9781627038478	05:21:56	18:09:17
79	200	9781617377921	05:21:56	18:09:17
80	200	9781588299888	05:21:56	18:09:17
81	200	9781588292650	05:21:56	18:09:17
82	200	9781588299871	05:21:56	18:09:17
83	200	9781588292643	05:21:56	18:09:17
84	200	9781588299819	05:21:57	18:09:17
85	200	9781489941565	05:21:57	18:09:17
86	200	9781588299772	05:21:57	18:09:17
87	200	9781597453714	05:21:57	18:09:17
88	200	9781617378614	05:21:57	18:09:17
89	200	9781588299727	05:21:57	18:09:17
90	200	9781588292520	05:21:58	18:09:17
91	200	9781588298218	05:21:58	18:09:17
92	200	9781468471441	05:21:58	18:09:17
93	200	9781588298027	05:21:58	18:09:17
94	200	9781588292476	05:21:58	18:09:17
95	200	9781588292445	05:21:58	18:09:17
96	200	9781627033138	05:21:59	18:09:17
97	200	9781588299611	05:21:59	18:09:17
98	200	9781588297686	05:21:59	18:09:17
99	200	9781588297976	05:21:59	18:09:17
100	200	9781617374456	05:21:59	18:09:17
101	200	9781588292421	05:22:00	18:09:17
102	200	9781617377822	05:22:00	18:09:17
103	200	9781934115251	05:22:00	18:09:17
104	200	9780896035805	05:22:00	18:09:17
105	200	9781588299529	05:22:00	18:09:17
106	200	9780896035737	05:22:00	18:09:17
107	200	9781588299451	05:22:01	18:09:17
108	200	9781617377761	05:22:01	18:09:17
109	200	9781617374326	05:22:01	18:09:17
110	200	9781588292209	05:22:01	18:09:17
111	200	9781588299420	05:22:01	18:09:17
112	200	9781617377730	05:22:01	18:09:17
113	200	9781617370755	05:22:02	18:09:17
114	200	9781617370748	05:22:02	18:09:17
115	200	9781475747607	05:22:02	18:09:17
116	200	9781588292155	05:22:02	18:09:17
117	200	9781475756869	05:22:02	18:09:17
118	200	9781617374258	05:22:02	18:09:17
119	200	9781588292131	05:22:03	18:09:17
120	200	9781588297709	05:22:03	18:09:17
121	200	9781617378485	05:22:03	18:09:17
122	200	9781489943606	05:22:03	18:09:17
123	200	9781489938206	05:22:03	18:09:17
124	200	9781588297648	05:22:03	18:09:17
125	200	9781627039635	05:22:04	18:09:17
126	200	9781617374197	05:22:04	18:09:17
127	200	9781627038065	05:22:04	18:09:17
128	200	9781617378423	05:22:04	18:09:17
129	200	9781617370663	05:22:04	18:09:17
130	200	9781627038911	05:22:04	18:09:17
131	200	9781588299093	05:22:05	18:09:17
132	200	9780896035355	05:22:05	18:09:17
133	200	9781617378379	05:22:05	18:09:17
134	200	9781617374135	05:22:05	18:09:17
135	200	9781588297488	05:22:05	18:09:17
136	200	9781588294203	05:22:05	18:09:17
137	200	9781588291905	05:22:06	18:09:17
138	200	9781588297457	05:22:06	18:09:17
139	200	9781617374111	05:22:06	18:09:17
140	200	9781588299055	05:22:06	18:09:17
141	200	9780896035287	05:22:06	18:09:17
142	200	9781617370625	05:22:07	18:09:17
143	200	9781468498318	05:22:07	18:09:17
144	200	9781617370601	05:22:07	18:09:17
